iter	Passed	Remaining
271	3727	9975
272	3738	9956
273	3750	9936
274	3759	9911
275	3768	9885
276	3778	9862
277	3783	9826
278	3793	9804
279	3804	9783
280	3816	9764
281	3828	9747
282	3840	9731
283	3853	9715
284	3864	9696
285	3874	9672
286	3884	9650
287	3889	9616
288	3901	9599
289	3911	9577
290	3921	9555
291	3932	9535
292	3943	9515
293	3953	9493
294	3965	9476
295	3973	9451
296	3984	9432
297	3994	9410
298	4004	9388
299	4015	9369
300	4026	9351
301	4036	9328
302	4047	9311
303	4060	9295
304	4069	9274
305	4080	9254
306	4091	9235
307	4100	9213
308	4111	9194
309	4122	9176
310	4133	9156
311	4145	9141
312	4155	9121
313	4164	9098
314	4174	9077
315	4184	9058
316	4195	9038
317	4205	9018
318	4215	8998
319	4226	8982
320	4232	8953
321	4244	8937
322	4247	8903
323	4263	8895
324	4276	8881
325	4287	8864
326	4303	8856
327	4318	8848
328	4331	8834
329	4344	8820
330	4356	8805
331	4367	8787
332	4376	8765
333	4386	8746
334	4396	8727
335	4407	8709
336	4416	8688
337	4427	8671
338	4432	8642
339	4443	8624
340	4453	8606
341	4463	8588
342	4473	8569
343	4484	8551
344	4493	8531
345	4503	8513
346	4512	8491
347	4520	8469
348	4530	8450
349	4542	8435
350	4552	8417
351	4562	8398
352	4573	8382
353	4583	8363
354	4593	8345
355	4603	8328
356	4613	8309
357	4624	8293
358	4635	8277
359	4641	8250
360	4651	8234
361	4657	8207
362	4669	8193
363	4678	8175
364	4690	8159
365	4699	8141
366	4709	8123
367	4720	8107
368	4726	8082
369	4737	8066
370	4748	8050
371	4759	8034
372	4771	8019
373	4779	7999
374	4791	7985
375	4803	7971
376	4812	7952
377	4822	7936
378	4834	7921
379	4845	7905
380	4855	7889
381	4866	7872
382	4875	7854
383	4882	7832
384	4892	7814
385	4905	7802
386	4917	7788
387	4928	7773
388	4938	7756
389	4947	7738
390	4960	7726
391	4972	7712
392	4984	7698
393	4988	7673
394	5001	7660
395	5010	7642
396	5020	7626
397	5032	7612
398	5041	7594
399	5053	7580
400	5065	7566
401	5074	7548
402	5084	7532
403	5095	7517
404	5105	7500
405	5115	7484
406	5126	7469
407	5138	7456
408	5148	7440
409	5158	7423
410	5168	7407
411	5180	7394
412	5191	7378
413	5201	7362
414	5213	7348
415	5223	7333
416	5234	7318
417	5246	7305
418	5256	7288
419	5266	7272
420	5276	7256
421	5286	7241
422	5297	7225
423	5307	7209
424	5316	7193
425	5327	7178
426	5332	7155
427	5337	7132
428	5348	7118
429	5358	7102
430	5368	7087
431	5380	7074
432	5390	7058
433	5400	7042
434	5412	7029
435	5421	7012
436	5431	6997
437	5443	6983
438	5453	6968
439	5464	6954
440	5476	6942
441	5486	6925
442	5497	6911
443	5508	6897
444	5518	6883
445	5529	6868
446	5540	6854
447	5551	6839
448	5562	6825
449	5573	6811
450	5582	6795
451	5594	6782
452	5604	6767
453	5616	6754
454	5628	6741
455	5640	6728
456	5649	6712
457	5661	6699
458	5673	6687
459	5684	6672
460	5695	6659
461	5707	6646
462	5717	6630
463	5726	6615
464	5736	6599
465	5747	6585
466	5757	6571
467	5766	6555
468	5777	6541
469	5787	6526
470	5798	6513
471	5810	6499
472	5821	6486
473	5831	6470
474	5842	6457
475	5854	6444
476	5864	6429
477	5875	6416
478	5885	6401
479	5895	6386
480	5907	6374
481	5917	6359
482	5927	6344
483	5939	6331
484	5949	6317
485	5959	6302
486	5970	6288
487	5979	6273
488	5990	6259
489	5999	6244
490	6011	6232
491	6022	6218
492	6032	6203
493	6043	6189
494	6053	6175
495	6063	6161
496	6121	6195
497	6138	6187
498	6150	6175
499	6160	6160
500	6171	6146
501	6181	6132
502	6192	6118
503	6203	6105
504	6214	6091
505	6225	6077
506	6237	6064
507	6247	6051
508	6258	6037
509	6269	6023
510	6279	6008
511	6291	5996
512	6302	5982
513	6312	5968
514	6323	5954
515	6334	5942
516	6347	5930
517	6358	5916
518	6371	5904
519	6382	5891
520	6393	5878
521	6405	5865
522	6416	5851
523	6426	5837
524	6436	5823
525	6447	5810
526	6459	5797
527	6471	5785
528	6483	5772
529	6494	5758
530	6505	5745
531	6515	5732
532	6524	5716
533	6535	5703
534	6545	5689
535	6554	5674
536	6567	5662
537	6578	5648
538	6588	5634
539	6599	5621
540	6609	5608
541	6619	5593
542	6630	5580
543	6640	5566
544	6652	5553
545	6662	5539
546	6673	5526
547	6684	5513
548	6695	5500
549	6706	5487
550	6717	5474
551	6727	5460
552	6738	5446
553	6750	5434
554	6760	5420
555	6771	5407
556	6782	5394
557	6793	5381
558	6804	5367
559	6815	5354
560	6825	5340
561	6836	5327
562	6848	5315
563	6860	5303
564	6871	5290
565	6883	5277
566	6893	5264
567	6901	5249
568	6912	5236
569	6923	5222
570	6934	5209
571	6945	5197
572	6956	5184
573	6967	5171
574	6978	5158
575	6988	5144
576	6999	5131
577	7012	5119
578	7022	5106
579	7032	5092
580	7043	5079
581	7053	5066
582	7063	5051
583	7074	5039
584	7084	5025
585	7097	5013
586	7108	5001
587	7118	4987
588	7129	4975
589	7142	4963
590	7152	4949
591	7163	4937
592	7173	4923
593	7185	4911
594	7196	4898
595	7207	4885
596	7216	4871
597	7227	4858
598	7239	4846
599	7250	4833
600	7260	4820
601	7270	4806
602	7281	4794
603	7292	4781
604	7304	4769
605	7315	4756
606	7326	4743
607	7337	4730
608	7346	4716
609	7358	4704
610	7368	4691
611	7377	4677
612	7388	4664
613	7398	4651
614	7407	4637
615	7417	4624
616	7428	4611
617	7440	4599
618	7450	4585
619	7461	4572
620	7471	4559
621	7483	4548
622	7493	4534
623	7505	4522
624	7515	4509
625	7525	4495
626	7537	4484
627	7548	4471
628	7560	4459
629	7571	4447
630	7581	4433
631	7593	4421
632	7605	4409
633	7617	4397
634	7626	4384
635	7638	4371
636	7650	4359
637	7661	4346
638	7671	4334
639	7682	4321
640	7691	4307
641	7702	4295
642	7714	4283
643	7724	4270
644	7735	4257
645	7778	4262
646	7797	4254
647	7808	4241
648	7820	4229
649	7831	4217
650	7841	4203
651	7852	4191
652	7864	4178
653	7874	4165
654	7886	4153
655	7897	4141
656	7907	4128
657	7918	4115
658	7930	4103
659	7940	4090
660	7951	4078
661	7973	4071
662	8003	4068
663	8020	4058
664	8031	4046
665	8041	4032
666	8052	4020
667	8064	4007
668	8076	3995
669	8086	3982
670	8098	3970
671	8107	3957
672	8119	3945
673	8131	3932
674	8147	3922
675	8166	3914
676	8187	3906
677	8205	3896
678	8221	3886
679	8237	3876
680	8251	3865
681	8270	3856
682	8282	3844
683	8294	3832
684	8305	3819
685	8316	3806
686	8328	3794
687	8339	3781
688	8349	3768
689	8362	3756
690	8372	3744
691	8384	3731
692	8395	3719
693	8405	3706
694	8416	3693
695	8428	3681
696	8437	3667
697	8449	3655
698	8461	3643
699	8472	3631
700	8483	3618
701	8494	3605
702	8505	3593
703	8515	3580
704	8526	3567
705	8537	3555
706	8548	3542
707	8558	3529
708	8570	3517
709	8581	3505
710	8592	3492
711	8602	3479
712	8614	3467
713	8626	3455
714	8637	3442
715	8649	3430
716	8661	3418
717	8673	3406
718	8681	3393
719	8693	3380
720	8703	3368
721	8714	3355
722	8724	3342
723	8734	3329
724	8747	3318
725	8762	3306
726	8778	3296
727	8791	3284
728	8804	3272
729	8814	3260
730	8826	3248
731	8836	3235
732	8851	3224
733	8870	3214
734	8890	3205
735	8909	3195
736	8926	3185
737	8942	3174
738	8959	3164
739	8978	3154
740	8994	3143
741	9006	3131
742	9017	3119
743	9027	3106
744	9037	3093
745	9048	3080
746	9059	3068
747	9071	3056
748	9082	3043
749	9093	3031
750	9106	3019
751	9117	3006
752	9128	2994
753	9140	2982
754	9151	2969
755	9162	2957
756	9174	2944
757	9185	2932
758	9196	2920
759	9208	2907
760	9219	2895
761	9231	2883
762	9241	2870
763	9253	2858
764	9264	2845
765	9275	2833
766	9286	2821
767	9296	2808
768	9306	2795
769	9317	2783
770	9328	2770
771	9340	2758
772	9349	2745
773	9360	2733
774	9371	2720
775	9381	2708
776	9390	2695
777	9402	2682
778	9414	2670
779	9424	2658
780	9435	2645
781	9446	2633
782	9456	2620
783	9467	2608
784	9477	2595
785	9489	2583
786	9501	2571
787	9512	2559
788	9522	2546
789	9534	2534
790	9545	2522
791	9556	2509
792	9567	2497
793	9585	2486
794	9601	2475
795	9618	2464
796	9636	2454
797	9653	2443
798	9668	2432
799	9683	2420
800	9698	2409
801	9710	2397
802	9721	2385
803	9732	2372
804	9744	2360
805	9753	2347
806	9764	2335
807	9775	2322
808	9785	2310
809	9798	2298
810	9810	2286
811	9821	2273
812	9833	2261
813	9844	2249
814	9858	2237
815	9869	2225
816	9881	2213
817	9892	2201
818	9903	2188
819	9915	2176
820	9925	2163
821	9936	2151
822	9946	2139
823	9956	2126
824	9967	2114
825	9978	2102
826	9991	2090
827	10001	2077
828	10013	2065
829	10024	2053
830	10034	2040
831	10047	2028
832	10058	2016
833	10067	2003
834	10078	1991
835	10090	1979
836	10101	1967
837	10113	1955
838	10124	1942
839	10135	1930
840	10146	1918
841	10157	1906
842	10167	1893
843	10179	1881
844	10191	1869
845	10201	1856
846	10212	1844
847	10224	1832
848	10234	1820
849	10246	1808
850	10258	1796
851	10269	1783
852	10279	1771
853	10291	1759
854	10302	1747
855	10312	1734
856	10324	1722
857	10335	1710
858	10346	1698
859	10359	1686
860	10370	1674
861	10380	1661
862	10392	1649
863	10402	1637
864	10413	1625
865	10425	1613
866	10436	1600
867	10447	1588
868	10459	1576
869	10470	1564
870	10481	1552
871	10493	1540
872	10504	1528
873	10515	1516
874	10526	1503
875	10539	1491
876	10550	1479
877	10561	1467
878	10572	1455
879	10584	1443
880	10595	1431
881	10606	1419
882	10618	1406
883	10630	1394
884	10640	1382
885	10651	1370
886	10661	1358
887	10671	1346
888	10683	1333
889	10694	1321
890	10706	1309
891	10719	1297
892	10729	1285
893	10740	1273
894	10752	1261
895	10762	1249
896	10773	1237
897	10786	1225
898	10796	1212
899	10807	1200
900	10820	1188
901	10831	1176
902	10842	1164
903	10853	1152
904	10864	1140
905	10874	1128
906	10884	1116
907	10895	1103
908	10907	1091
909	10918	1079
910	10928	1067
911	10939	1055
912	10950	1043
913	10961	1031
914	10972	1019
915	10983	1007
916	10995	995
917	11006	983
918	11016	970
919	11027	958
920	11037	946
921	11049	934
922	11060	922
923	11072	910
924	11084	898
925	11096	886
926	11106	874
927	11117	862
928	11129	850
929	11139	838
930	11151	826
931	11162	814
932	11172	802
933	11182	790
934	11194	778
935	11204	766
936	11215	754
937	11226	742
938	11237	729
939	11247	717
940	11258	705
941	11270	693
942	11282	681
943	11293	669
944	11303	657
945	11315	645
946	11326	633
947	11335	621
948	11349	609
949	11361	597
950	11371	585
951	11383	573
952	11395	562
953	11406	550
954	11416	537
955	11428	525
956	11439	514
957	11450	501
958	11462	490
959	11474	478
960	11485	466
961	11497	454
962	11508	442
963	11518	430
964	11531	418
965	11543	406
966	11552	394
967	11564	382
968	11575	370
969	11586	358
970	11597	346
971	11609	334
972	11621	322
973	11630	310
974	11643	298
975	11655	286
976	11665	274
977	11677	262
978	11688	250
979	11699	238
980	11710	226
981	11722	214
982	11733	202
983	11746	190
984	11757	179
985	11767	167
986	11779	155
987	11790	143
988	11802	131
989	11813	119
990	11825	107
991	11836	95
992	11845	83
993	11855	71
994	11865	59
995	11877	47
996	11889	35
997	11901	23
998	11911	11
999	11935	0
